Item Code,Item Name,Item Group,Warehouse,Quantity,Valuation Rate,Amount,Allow Zero Valuation Rate,Use Serial No / Batch Fields,Serial / Batch Bundle,Current Serial / Batch Bundle,Serial No,Batch No,Current Qty,Current Amount,Current Valuation Rate,Current Serial No,Quantity Difference,Amount Difference
item_code,item_name,item_group,warehouse,qty,valuation_rate,amount,allow_zero_valuation_rate,use_serial_batch_fields,serial_and_batch_bundle,current_serial_and_batch_bundle,serial_no,batch_no,current_qty,current_amount,current_valuation_rate,current_serial_no,quantity_difference,amount_difference
 , , , , , , , , , , , , , , , , , , 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ITEM-00668,,,WH-SL-CAVITE-SAHUDULAN - MMA,23,,,,1,,,,,,,,,,
ITEM-00669,,,WH-SL-CAVITE-SAHUDULAN - MMA,13,,,,1,,,,,,,,,,
ITEM-00670,,,WH-SL-CAVITE-SAHUDULAN - MMA,15,,,,1,,,,,,,,,,
ITEM-00671,,,WH-SL-CAVITE-SAHUDULAN - MMA,9,,,,1,,,,,,,,,,
ITEM-00672,,,WH-SL-CAVITE-SAHUDULAN - MMA,14,,,,1,,,,,,,,,,
ITEM-00679,,,WH-SL-CAVITE-SAHUDULAN - MMA,22,,,,1,,,,,,,,,,
ITEM-00680,,,WH-SL-CAVITE-SAHUDULAN - MMA,1,,,,1,,,,,,,,,,
ITEM-00681,,,WH-SL-CAVITE-SAHUDULAN - MMA,15,,,,1,,,,,,,,,,
ITEM-00687,,,WH-SL-CAVITE-SAHUDULAN - MMA,13,,,,1,,,,,,,,,,
ITEM-00688,,,WH-SL-CAVITE-SAHUDULAN - MMA,14,,,,1,,,,,,,,,,
ITEM-00689,,,WH-SL-CAVITE-SAHUDULAN - MMA,33,,,,1,,,,,,,,,,
ITEM-00690,,,WH-SL-CAVITE-SAHUDULAN - MMA,45,,,,1,,,,,,,,,,
ITEM-00691,,,WH-SL-CAVITE-SAHUDULAN - MMA,49,,,,1,,,,,,,,,,
ITEM-00692,,,WH-SL-CAVITE-SAHUDULAN - MMA,17,,,,1,,,,,,,,,,
ITEM-00724,,,WH-SL-CAVITE-SAHUDULAN - MMA,7,,,,1,,,,,,,,,,
ITEM-00790,,,WH-SL-CAVITE-SAHUDULAN - MMA,9,,,,1,,,,,,,,,,
ITEM-00791,,,WH-SL-CAVITE-SAHUDULAN - MMA,9,,,,1,,,,,,,,,,
ITEM-00792,,,WH-SL-CAVITE-SAHUDULAN - MMA,7,,,,1,,,,,,,,,,
ITEM-00793,,,WH-SL-CAVITE-SAHUDULAN - MMA,3,,,,1,,,,,,,,,,
ITEM-00794,,,WH-SL-CAVITE-SAHUDULAN - MMA,7,,,,1,,,,,,,,,,
ITEM-00853,,,WH-SL-CAVITE-SAHUDULAN - MMA,29,,,,1,,,,,,,,,,
ITEM-00854,,,WH-SL-CAVITE-SAHUDULAN - MMA,36,,,,1,,,,,,,,,,
ITEM-00855,,,WH-SL-CAVITE-SAHUDULAN - MMA,35,,,,1,,,,,,,,,,
ITEM-00856,,,WH-SL-CAVITE-SAHUDULAN - MMA,7,,,,1,,,,,,,,,,
ITEM-00857,,,WH-SL-CAVITE-SAHUDULAN - MMA,29,,,,1,,,,,,,,,,
ITEM-00858,,,WH-SL-CAVITE-SAHUDULAN - MMA,32,,,,1,,,,,,,,,,
ITEM-00859,,,WH-SL-CAVITE-SAHUDULAN - MMA,4,,,,1,,,,,,,,,,
ITEM-00860,,,WH-SL-CAVITE-SAHUDULAN - MMA,9,,,,1,,,,,,,,,,
ITEM-00861,,,WH-SL-CAVITE-SAHUDULAN - MMA,16,,,,1,,,,,,,,,,
ITEM-00862,,,WH-SL-CAVITE-SAHUDULAN - MMA,28,,,,1,,,,,,,,,,
ITEM-00863,,,WH-SL-CAVITE-SAHUDULAN - MMA,3,,,,1,,,,,,,,,,
ITEM-00864,,,WH-SL-CAVITE-SAHUDULAN - MMA,33,,,,1,,,,,,,,,,
ITEM-00900,,,WH-SL-CAVITE-SAHUDULAN - MMA,17,,,,1,,,,,,,,,,
ITEM-00901,,,WH-SL-CAVITE-SAHUDULAN - MMA,10,,,,1,,,,,,,,,,
ITEM-00912,,,WH-SL-CAVITE-SAHUDULAN - MMA,24,,,,1,,,,,,,,,,
ITEM-00913,,,WH-SL-CAVITE-SAHUDULAN - MMA,10,,,,1,,,,,,,,,,
